started	session	models	calls	span	active	input	cache_create	cache_read	output
2026-08-21T17:24:45	107611f0-c989-498e-9749-ab3d3096947d	claude-opus-5, claude-sonnet-5	206	00:51:13	00:39:10	412	915116	34460133	168424
2026-08-29T14:02:56	0394c68a-e52c-458e-aab0-f03f8882d0e6	claude-opus-5	110	00:22:55	00:22:55	220	267185	13587534	133932
2026-08-29T14:26:27	3bc648f8-be38-47f7-893f-16996f9be16b	claude-opus-5	5	00:00:24	00:00:24	10	132243	291381	2436
2026-08-29T14:30:07	8eef04a2-d8d9-44d8-ab8c-b779c2de378a	claude-sonnet-5	27	00:01:41	00:01:41	54	158554	3016221	10334
2026-08-29T14:32:23	33fac44c-7fa6-4ab4-b723-9a99a383d019	claude-sonnet-5	11	00:00:43	00:00:43	22	107852	956569	5389
2026-08-30T12:19:19	25d38d01-9803-457c-8d82-a15545828b10	claude-sonnet-5	75	00:10:50	00:10:50	146	298324	9106781	44256
2026-08-30T12:30:14	8e0b988e-930b-454b-8f92-bc2f213ad3af	claude-sonnet-5	85	00:12:31	00:12:31	166	187671	9953472	29605
2026-08-30T13:31:42	4b391364-027e-4a68-b914-f534f3378494	claude-sonnet-5	108	00:12:09	00:12:09	213	225974	13246476	40646
2026-08-30T15:05:43	18dc7e78-814d-4d7f-9a48-25abfbb87f07	claude-sonnet-5	11	00:00:35	00:00:35	22	106637	997710	2010
2026-08-30T15:52:56	820cc648-eb01-4b84-b36a-24fd5bdfb480	claude-sonnet-5	42	00:04:52	00:04:52	84	201016	4497739	30058
2026-08-31T07:40:20	a03af6cb-b6e7-4eed-91dd-e7e399b0f3e9	claude-sonnet-5	37	00:03:21	00:03:21	74	315509	4170050	40504
2026-09-03T08:00:37	416d71d7-391b-4cbf-adc0-7f948b26af96	claude-sonnet-5	7	00:00:41	00:00:41	14	57140	662073	1852
2026-09-03T08:11:00	e203a184-fc1f-494d-a406-a0f0c846994f	claude-sonnet-5	10	00:01:03	00:01:03	20	102446	908701	2888
2026-09-03T08:35:00	f546a69d-eefa-4a59-9bef-8ac2499eabfe	claude-sonnet-5	198	00:33:19	00:25:11	396	574621	43302895	178589
2026-09-03T09:09:21	5408020a-b601-4177-93f2-22e80f94a7a2	claude-sonnet-5	65	00:06:34	00:06:34	130	316272	9446801	77261
2026-09-04T14:18:07	63f2ff17-aa0f-568b-8b30-5536f465b4b0	claude-sonnet-5	297	05:36:11	00:45:27	588	1452755	70856738	130113
